R,G,B,s
34,53,67,19
76,95,112,19.333333333333332
75,94,111,19.666666666666664
87,40,26,19.999999999999996
110,60,46,20.33333333333333
117,68,54,20.66666666666666
83,31,21,20.999999999999993
74,21,13,21.333333333333325
66,85,95,21.666666666666657
66,85,95,21.99999999999999
66,85,95,22.33333333333332
66,85,95,22.666666666666654
66,85,95,22.999999999999986
66,85,95,23.333333333333318
66,85,95,23.66666666666665
142,94,71,23.999999999999982
140,92,69,24.333333333333314
141,93,70,24.666666666666647
129,81,58,24.99999999999998
92,111,121,25.33333333333331
113,130,144,25.666666666666643
85,102,114,25.999999999999975
97,113,126,26.333333333333307
101,119,130,26.66666666666664
106,124,135,26.99999999999997
85,104,114,27.333333333333304
57,80,91,27.666666666666636
86,105,120,27.999999999999968
85,106,119,28.3333333333333
91,75,73,28.666666666666632
93,77,75,28.999999999999964
93,77,75,29.333333333333297
88,75,74,29.66666666666663
119,68,55,29.99999999999996
124,73,58,30.333333333333293
118,67,53,30.666666666666625
114,61,48,30.999999999999957
111,58,47,31.33333333333329
117,65,54,31.66666666666662
71,92,101,31.999999999999954
69,90,99,32.333333333333286
68,89,98,32.66666666666662
68,89,98,32.99999999999996
66,87,96,33.33333333333329
64,85,94,33.66666666666663
132,78,61,33.999999999999964
130,77,59,34.3333333333333
131,78,60,34.666666666666636
133,80,62,34.99999999999997
132,80,62,35.33333333333331
134,81,63,35.66666666666664
99,121,140,35.99999999999998
113,128,151,36.333333333333314
99,117,141,36.66666666666665
104,122,146,36.999999999999986
118,134,158,37.33333333333332
120,136,160,37.66666666666666
6,25,35,37.99999999999999
6,25,35,38.33333333333333
6,25,35,38.666666666666664
5,24,34,39
5,24,34,39.333333333333336
5,24,34,39.66666666666667
4,23,33,40.00000000000001
24,43,53,40.33333333333334
23,42,52,40.66666666666668
24,43,53,41.000000000000014
83,106,122,41.33333333333335
89,108,118,41.666666666666686
83,102,112,42.00000000000002
84,103,113,42.33333333333336
101,117,139,42.66666666666669
102,118,142,43.00000000000003
131,153,177,43.333333333333364
120,140,167,43.6666666666667
134,156,180,44.000000000000036
103,128,150,44.33333333333337
103,128,150,44.66666666666671
44,38,29,45.00000000000004
44,42,37,45.33333333333338
44,45,43,45.666666666666714
43,45,43,46.00000000000005
43,36,28,46.333333333333385
37,30,22,46.66666666666672
39,32,25,47.00000000000006
38,31,24,47.33333333333339
37,30,23,47.66666666666673
36,29,22,48.000000000000064
37,30,23,48.3333333333334
97,81,76,48.666666666666735
97,81,76,49.00000000000007
97,81,76,49.33333333333341
97,81,76,49.66666666666674
97,81,76,50.00000000000008
88,65,64,50.333333333333414
89,68,66,50.66666666666675
90,68,66,51.000000000000085
89,67,66,51.33333333333342
71,92,105,51.66666666666676
41,62,73,52.00000000000009
70,90,106,52.33333333333343
68,87,104,52.666666666666764
73,98,110,53.0000000000001
83,101,120,53.333333333333435
56,74,92,53.66666666666677
139,96,72,54.00000000000011
139,95,72,54.33333333333344
143,94,74,54.66666666666678
127,79,60,55.000000000000114
126,73,56,55.33333333333345
127,75,58,55.666666666666785
127,75,58,56.00000000000012
71,92,101,56.33333333333346
70,91,100,56.66666666666679
72,93,102,57.00000000000013
70,91,100,57.333333333333464
114,48,11,57.6666666666668
121,49,20,58.000000000000135
121,71,35,58.33333333333347
111,50,19,58.666666666666806
108,48,16,59.00000000000014
109,49,17,59.33333333333348
122,53,18,59.66666666666681
128,83,42,60.00000000000015
12,33,46,60.333333333333485
12,33,46,60.66666666666682
122,68,44,61.000000000000156
120,67,42,61.33333333333349
122,69,46,61.66666666666683
119,63,39,62.00000000000016
113,58,42,62.3333333333335
109,55,42,62.666666666666835
71,92,101,63.00000000000017
57,77,86,63.333333333333506
61,81,91,63.66666666666684
53,73,84,64.00000000000017
90,57,47,64.3333333333335
91,59,42,64.66666666666683
121,77,55,65.00000000000016
100,49,27,65.33333333333348
102,51,29,65.66666666666681
102,52,29,66.00000000000014
78,99,110,66.33333333333347
119,140,151,66.6666666666668
50,71,82,67.00000000000013
140,90,54,67.33333333333346
137,81,48,67.66666666666679
137,85,49,68.00000000000011
134,84,61,68.33333333333344
125,142,173,68.66666666666677
63,39,7,69.0000000000001
151,180,208,69.33333333333343
150,179,207,69.66666666666676
124,152,180,70.00000000000009
121,149,177,70.33333333333341
170,190,213,70.66666666666674
